,Id_joueur,Strategy,Depth,Max_Score,History
0,1,Exploration,3,-37.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, -1.0, -1.0, -3.0, -7.0, -7.0, -11.0, -15.0, -17.0, -23.0, -23.0, -23.0, -29.0, -29.0, -33.0, -37.0, -37.0, -39.0, -39.0, -35.0, -31.0, -39.0, -37.0, -37.0]"
1,2,Dumb,1,40.0,"[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 4.0, 4.0, 8.0, 10.0, 10.0, 16.0, 18.0, 20.0, 26.0, 28.0, 26.0, 32.0, 32.0, 36.0, 40.0, 40.0, 42.0, 42.0, 42.0, 38.0, 42.0, 44.0, 42.0, 40.0]"
2,1,Exploration,3,-21.0,"[0, 3.0, 3.0, 3.0, 1.0, -1.0, -1.0, -3.0, -3.0, -3.0, -7.0, -7.0, -7.0, -13.0, -13.0, -15.0, -15.0, -21.0, -23.0, -21.0, -23.0, -23.0, -23.0, -25.0, -25.0, -21.0, -19.0, -25.0, -21.0]"
3,2,Dumb,1,30.0,"[0, -0.0, -0.0, 2.0, 4.0, 4.0, 6.0, 6.0, 6.0, 12.0, 10.0, 10.0, 16.0, 18.0, 18.0, 18.0, 24.0, 26.0, 26.0, 26.0, 30.0, 26.0, 28.0, 28.0, 28.0, 24.0, 28.0, 30.0]"
4,1,Exploration,3,-23.0,"[0, 3.0, 3.0, 3.0, 1.0, 3.0, 3.0, -1.0, -1.0, -1.0, -1.0, -1.0, -3.0, -5.0, -5.0, -9.0, -7.0, -3.0, -3.0, -5.0, -5.0, -9.0, -15.0, -15.0, -15.0, -17.0, -23.0, -25.0, -23.0, -23.0, -23.0]"
5,2,Dumb,1,36.0,"[0, -0.0, -0.0, 2.0, 2.0, -0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 6.0, 8.0, 8.0, 14.0, 12.0, 12.0, 6.0, 8.0, 8.0, 12.0, 18.0, 18.0, 18.0, 22.0, 26.0, 28.0, 28.0, 26.0, 28.0, 36.0]"
6,1,Exploration,3,-7.0,"[0, 3.0, 3.0, 3.0, 3.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -3.0, -3.0, -5.0, -7.0, -7.0, -9.0, -9.0, -13.0, -15.0, -21.0, -17.0, -17.0, -19.0, -19.0, -17.0, -17.0, -11.0, -7.0, -7.0, -7.0]"
7,2,Dumb,1,14.0,"[0, -0.0, -0.0, -0.0, 2.0, 2.0, 2.0, 4.0, 4.0, 4.0, 6.0, 8.0, 8.0, 10.0, 10.0, 12.0, 12.0, 16.0, 18.0, 24.0, 24.0, 22.0, 22.0, 22.0, 22.0, 22.0, 20.0, 22.0, 12.0, 12.0, 14.0]"
8,1,Exploration,3,-15.0,"[0, 3.0, 3.0, 3.0, 5.0, 5.0, 1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 5.0, 5.0, 5.0, -1.0, -1.0, -5.0, -5.0, -9.0, -11.0, -9.0, -15.0, -17.0, -17.0, -21.0, -19.0, -15.0]"
9,2,Dumb,1,22.0,"[0, -0.0, -0.0, -0.0, -2.0, 2.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, -2.0, -2.0, 4.0, 4.0, 8.0, 8.0, 12.0, 18.0, 14.0, 22.0, 20.0, 28.0, 28.0, 32.0, 22.0]"
10,1,Exploration,3,-21.0,"[0, 3.0, 3.0, 3.0, 5.0, 3.0, 3.0, 3.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -9.0, -9.0, -11.0, -9.0, -11.0, -17.0, -17.0, -17.0, -19.0, -15.0, -13.0, -15.0, -15.0, -19.0, -11.0, -15.0, -21.0]"
