,Id_joueur,Strategy,Depth,Max_Score,History
0,1,Exploration,3,30,"[4, 5, 6, 6, 7, 7, 10, 13, 14, 15, 16, 17, 20, 22, 23, 24, 24, 23, 21, 23, 26, 28, 31, 31, 32, 30]"
1,2,Exploration_spatial,3,27,"[3, 4, 6, 9, 10, 11, 9, 13, 9, 10, 15, 13, 12, 11, 12, 15, 18, 24, 25, 23, 25, 21, 21, 24, 27]"
2,1,Exploration,3,42,"[4, 5, 6, 5, 7, 10, 11, 9, 7, 11, 12, 16, 18, 21, 22, 24, 28, 29, 31, 32, 35, 34, 34, 34, 36, 35, 34, 38, 42, 42]"
3,2,Exploration_spatial,3,28,"[3, 4, 7, 8, 8, 7, 12, 15, 16, 15, 15, 13, 15, 13, 13, 14, 11, 13, 15, 15, 14, 16, 19, 21, 25, 26, 26, 24, 23, 28]"
4,1,Exploration,3,41,"[4, 5, 6, 6, 8, 10, 11, 12, 13, 11, 14, 17, 18, 19, 20, 23, 24, 25, 23, 22, 25, 28, 30, 30, 29, 33, 38, 39, 36, 41]"
5,2,Exploration_spatial,3,25,"[3, 4, 7, 8, 7, 7, 8, 9, 13, 14, 13, 14, 16, 16, 18, 15, 16, 20, 23, 26, 23, 21, 25, 26, 30, 24, 21, 27, 27, 25]"
6,1,Exploration,3,22,"[4, 5, 6, 5, 6, 8, 10, 11, 14, 14, 11, 11, 16, 19, 20, 23, 23, 24, 23, 24, 27, 26, 25, 21, 19, 22]"
7,2,Exploration_spatial,3,35,"[3, 4, 7, 8, 9, 9, 9, 10, 13, 15, 17, 18, 15, 16, 15, 16, 19, 23, 22, 21, 23, 27, 31, 35, 37, 35]"
8,1,Exploration,3,43,"[4, 5, 6, 6, 7, 7, 9, 10, 12, 11, 13, 12, 14, 17, 21, 24, 26, 29, 30, 33, 34, 33, 37, 40, 41, 44, 47, 45, 43, 43]"
9,2,Exploration_spatial,3,23,"[3, 4, 7, 7, 10, 10, 10, 11, 13, 14, 19, 18, 19, 17, 14, 16, 15, 14, 14, 12, 16, 18, 15, 15, 14, 15, 18, 19, 24, 23]"
10,1,Exploration,3,31,"[4, 5, 6, 6, 8, 10, 11, 12, 13, 16, 18, 20, 26, 27, 28, 29, 31, 28, 28, 29, 30, 32, 31]"
11,2,Exploration_spatial,3,20,"[3, 4, 6, 7, 8, 7, 8, 10, 10, 9, 9, 9, 5, 6, 7, 9, 12, 15, 15, 16, 17, 19, 20]"
12,1,Exploration,3,21,"[4, 5, 6, 6, 8, 9, 10, 9, 12, 11, 15, 16, 18, 20, 19, 20, 19, 25, 26, 25, 21]"
13,2,Exploration_spatial,3,26,"[3, 4, 7, 8, 7, 8, 12, 12, 14, 14, 13, 13, 13, 16, 16, 19, 20, 17, 19, 26, 26]"
14,1,Exploration,3,27,"[4, 5, 6, 6, 7, 7, 7, 8, 12, 14, 16, 15, 19, 20, 17, 20, 21, 22, 23, 24, 27]"
15,2,Exploration_spatial,3,24,"[3, 4, 7, 7, 10, 11, 13, 13, 11, 11, 16, 15, 14, 17, 18, 18, 20, 19, 20, 21, 24]"
16,1,Exploration,3,25,"[4, 5, 6, 7, 7, 9, 9, 10, 12, 13, 11, 12, 13, 13, 18, 21, 27, 28, 26, 25, 24, 23, 24, 23, 25, 23, 24, 22, 22, 25]"
17,2,Exploration_spatial,3,44,"[3, 4, 6, 7, 8, 11, 11, 11, 11, 16, 16, 18, 19, 20, 20, 16, 13, 16, 20, 23, 26, 27, 33, 32, 33, 34, 38, 41, 42, 44]"
18,1,Exploration,3,16,"[4, 5, 6, 6, 8, 9, 11, 12, 13, 13, 12, 13, 14, 16, 16, 15, 15, 15, 16, 22, 23, 27, 25, 22, 22, 23, 25, 20, 19, 16]"
19,2,Exploration_spatial,3,53,"[3, 4, 7, 8, 7, 8, 8, 9, 11, 14, 15, 16, 17, 18, 21, 26, 26, 27, 27, 23, 24, 25, 30, 35, 34, 34, 41, 44, 50, 53]"
