,Id_joueur,Strategy,Max_Score,History
0,1,Dumb,31,"[4, 6, 6, 9, 10, 11, 12, 13, 14, 14, 15, 16, 17, 20, 21, 21, 21, 22, 23, 24, 24, 24, 23, 24, 27, 24, 25, 29, 32, 31]"
1,2,Dumb,47,"[3, 4, 5, 5, 5, 6, 8, 8, 10, 11, 12, 13, 15, 13, 16, 17, 18, 20, 23, 24, 24, 28, 29, 31, 32, 35, 35, 34, 36, 47]"
2,1,Dumb,27,"[4, 5, 6, 6, 8, 6, 5, 9, 9, 10, 11, 11, 12, 12, 17, 19, 19, 17, 18, 21, 21, 22, 22, 23, 25, 27, 26, 30, 29, 27]"
3,2,Dumb,39,"[3, 4, 7, 7, 10, 13, 14, 13, 14, 15, 18, 19, 20, 22, 19, 19, 23, 25, 25, 26, 26, 28, 29, 32, 30, 32, 33, 33, 39, 39]"
4,1,Dumb,33,"[4, 5, 6, 9, 10, 11, 11, 10, 11, 12, 14, 16, 17, 17, 18, 19, 21, 23, 24, 25, 29, 32, 33, 34, 35, 32, 34, 33]"
5,2,Dumb,30,"[3, 4, 5, 4, 5, 7, 10, 11, 13, 13, 13, 13, 16, 16, 19, 18, 19, 21, 19, 20, 18, 17, 20, 19, 27, 26, 27, 30]"
6,1,Dumb,26,"[4, 5, 5, 5, 8, 9, 10, 10, 13, 12, 11, 11, 12, 13, 11, 15, 16, 18, 17, 16, 19, 18, 18, 19, 17, 18, 21, 22, 24, 26]"
7,2,Dumb,42,"[3, 5, 7, 8, 7, 9, 10, 11, 13, 15, 18, 18, 19, 24, 24, 24, 23, 26, 30, 31, 32, 34, 36, 38, 40, 40, 40, 40, 39, 42]"
8,1,Dumb,35,"[4, 5, 6, 7, 9, 11, 11, 12, 13, 11, 12, 15, 17, 17, 19, 17, 18, 19, 19, 20, 18, 20, 21, 22, 29, 27, 29, 27, 33, 35]"
9,2,Dumb,33,"[3, 4, 5, 6, 6, 7, 9, 10, 13, 14, 15, 16, 16, 16, 19, 23, 21, 23, 26, 28, 31, 29, 30, 33, 29, 33, 34, 34, 31, 33]"
10,1,Dumb,35,"[4, 5, 8, 9, 11, 12, 13, 13, 14, 15, 18, 19, 20, 21, 25, 25, 24, 23, 19, 22, 23, 22, 23, 22, 23, 21, 25, 29, 36, 35]"
11,2,Dumb,31,"[3, 4, 3, 4, 4, 5, 8, 8, 9, 10, 9, 10, 11, 13, 11, 14, 17, 23, 25, 25, 29, 27, 30, 35, 39, 37, 38, 32, 29, 31]"
12,1,Dumb,39,"[4, 5, 5, 8, 10, 12, 12, 15, 15, 16, 18, 18, 19, 20, 19, 17, 16, 19, 24, 26, 34, 35, 34, 34, 34, 31, 36, 37, 39]"
13,2,Dumb,24,"[3, 5, 6, 5, 5, 6, 7, 7, 8, 9, 10, 13, 13, 16, 19, 22, 25, 22, 19, 20, 13, 16, 19, 21, 27, 27, 24, 24]"
14,1,Dumb,31,"[4, 5, 5, 6, 5, 6, 7, 8, 9, 9, 12, 13, 17, 19, 20, 21, 21, 18, 22, 22, 20, 21, 25, 28, 29, 35, 33, 37, 38, 31]"
15,2,Dumb,38,"[3, 5, 6, 9, 11, 11, 12, 13, 15, 16, 15, 16, 15, 14, 15, 18, 22, 23, 24, 28, 29, 28, 30, 26, 28, 28, 26, 28, 33, 38]"
16,1,Dumb,37,"[4, 5, 6, 8, 9, 9, 10, 10, 12, 13, 13, 13, 14, 11, 10, 10, 12, 18, 19, 17, 20, 24, 26, 27, 34, 33, 34, 33, 35, 37]"
17,2,Dumb,31,"[3, 4, 5, 5, 7, 8, 10, 11, 11, 13, 15, 16, 21, 25, 26, 27, 27, 23, 27, 32, 27, 26, 26, 26, 24, 24, 27, 28, 30, 31]"
18,1,Dumb,20,"[4, 5, 6, 8, 9, 10, 11, 11, 10, 10, 10, 11, 13, 15, 15, 13, 12, 10, 11, 12, 13, 16, 20, 19, 22, 21, 21, 22, 22, 20]"
19,2,Dumb,52,"[3, 4, 5, 5, 6, 8, 9, 12, 15, 16, 17, 18, 19, 20, 23, 26, 31, 31, 32, 33, 39, 34, 34, 34, 36, 40, 38, 42, 48, 52]"
20,1,Dumb,26,"[4, 5, 6, 8, 9, 11, 12, 13, 12, 13, 14, 16, 19, 19, 22, 23, 23, 22, 20, 20, 20, 21, 20, 20, 22, 28, 27, 30, 25, 26]"
21,2,Dumb,39,"[3, 4, 5, 6, 6, 7, 7, 10, 11, 12, 13, 13, 14, 14, 15, 15, 20, 22, 25, 28, 27, 33, 32, 33, 33, 31, 33, 38, 39]"
22,1,Dumb,23,"[4, 5, 6, 8, 8, 8, 9, 11, 13, 14, 15, 16, 16, 16, 17, 19, 18, 15, 16, 20, 18, 18, 16, 17, 21, 24, 23, 21, 23, 23]"
23,2,Dumb,44,"[3, 4, 5, 6, 10, 9, 10, 11, 10, 12, 13, 14, 16, 19, 18, 21, 25, 28, 27, 29, 32, 34, 36, 38, 35, 35, 39, 40, 44, 44]"
24,1,Dumb,24,"[4, 5, 6, 7, 7, 10, 11, 12, 13, 14, 15, 19, 21, 21, 22, 18, 21, 26, 31, 31, 32, 26, 28, 30, 27, 25, 23, 22, 23, 24]"
25,2,Dumb,40,"[3, 4, 5, 8, 8, 7, 8, 9, 10, 11, 12, 12, 12, 12, 18, 20, 18, 16, 14, 14, 22, 23, 25, 27, 35, 36, 38, 43, 40]"
26,1,Dumb,34,"[4, 5, 6, 7, 9, 10, 11, 13, 15, 14, 15, 15, 13, 14, 16, 17, 15, 17, 16, 17, 20, 22, 20, 18, 22, 22, 25, 29, 34]"
27,2,Dumb,29,"[3, 4, 5, 6, 6, 7, 8, 8, 13, 13, 16, 17, 18, 21, 20, 25, 24, 26, 29, 29, 29, 30, 34, 35, 34, 36, 36, 32, 29]"
28,1,Dumb,36,"[4, 5, 7, 7, 8, 10, 13, 15, 16, 18, 21, 20, 19, 20, 23, 24, 24, 27, 31, 33, 33, 34, 38, 37, 34, 34, 36, 36, 36]"
