,Id_joueur,Strategy,Depth,Max_Score,History
0,1,Exploration,3,46,"[4, 5, 7, 7, 8, 11, 12, 17, 18, 20, 23, 23, 22, 25, 25, 27, 28, 30, 33, 36, 37, 36, 42, 42, 47, 51, 50, 49, 51, 46]"
1,2,Dumb,1,25,"[3, 5, 5, 7, 7, 6, 7, 4, 5, 6, 5, 9, 10, 9, 11, 13, 12, 16, 12, 10, 12, 13, 10, 11, 8, 8, 12, 12, 20, 25]"
2,1,Exploration,3,34,"[4, 5, 6, 8, 10, 11, 12, 14, 17, 15, 14, 16, 17, 20, 22, 21, 24, 26, 26, 30, 31, 33, 37, 39, 40, 37, 37, 35, 36, 34]"
3,2,Dumb,1,30,"[3, 4, 5, 5, 5, 7, 9, 7, 9, 12, 14, 15, 14, 14, 18, 17, 15, 18, 18, 16, 17, 17, 16, 14, 19, 22, 25, 26, 30]"
4,1,Exploration,3,40,"[4, 5, 6, 6, 9, 11, 13, 13, 13, 14, 17, 20, 21, 20, 22, 22, 23, 23, 26, 25, 26, 30, 31, 32, 36, 39, 39, 35, 40]"
5,2,Dumb,1,28,"[3, 4, 7, 7, 6, 6, 7, 9, 10, 12, 12, 9, 12, 13, 15, 15, 19, 19, 20, 22, 21, 21, 21, 22, 22, 23, 25, 27, 28]"
6,1,Exploration,3,43,"[4, 5, 7, 8, 7, 10, 12, 14, 15, 18, 18, 21, 23, 24, 24, 27, 26, 28, 33, 33, 32, 34, 35, 40, 40, 39, 41, 36, 41, 43]"
7,2,Dumb,1,22,"[3, 5, 5, 8, 9, 7, 7, 9, 8, 10, 9, 9, 8, 11, 11, 15, 13, 13, 13, 18, 17, 17, 18, 16, 18, 21, 24, 27, 22]"
8,1,Exploration,3,39,"[4, 5, 6, 7, 9, 11, 14, 12, 17, 18, 19, 19, 22, 25, 24, 30, 32, 33, 37, 38, 38, 38, 39, 38, 39, 37, 37, 41, 39]"
9,2,Dumb,1,23,"[3, 5, 5, 6, 6, 6, 9, 9, 6, 7, 10, 10, 10, 10, 11, 7, 7, 8, 10, 9, 12, 11, 15, 19, 19, 23, 24, 23]"
10,1,Exploration,3,43,"[4, 5, 6, 7, 9, 12, 15, 14, 13, 14, 16, 18, 19, 21, 21, 23, 26, 29, 30, 31, 34, 31, 33, 32, 38, 39, 40, 42, 44, 43]"
11,2,Dumb,1,21,"[3, 4, 6, 6, 6, 6, 6, 9, 10, 13, 12, 12, 14, 13, 15, 15, 15, 16, 15, 15, 19, 21, 23, 22, 18, 19, 19, 22, 21]"
12,1,Exploration,3,49,"[4, 5, 6, 7, 7, 9, 10, 12, 14, 16, 18, 18, 21, 22, 25, 25, 28, 28, 32, 34, 34, 35, 37, 39, 39, 37, 40, 39, 41, 49]"
13,2,Dumb,1,16,"[3, 4, 5, 8, 8, 10, 10, 10, 10, 10, 11, 12, 15, 11, 12, 13, 12, 14, 11, 14, 14, 14, 17, 17, 22, 20, 23, 24, 22, 16]"
14,1,Exploration,3,39,"[4, 5, 6, 6, 8, 7, 10, 11, 12, 14, 17, 19, 23, 28, 29, 29, 31, 33, 38, 37, 36, 37, 35, 37, 41, 40, 40, 39, 39, 39]"
15,2,Dumb,1,25,"[3, 4, 7, 8, 9, 10, 10, 11, 11, 11, 10, 11, 8, 6, 8, 8, 8, 8, 7, 11, 13, 15, 18, 16, 16, 18, 25, 23, 25]"
16,1,Exploration,3,40,"[4, 5, 6, 7, 8, 9, 13, 14, 17, 20, 20, 23, 25, 25, 29, 32, 33, 34, 37, 33, 34, 33, 35, 38, 34, 32, 34, 39, 40]"
