,Id_joueur,Strategy,Depth,Max_Score,History
0,1,Exploration,5,13.0,"[0, 3.0, 3.0, 3.0, 3.0, 5.0, 5.0, 7.0, 9.0, 9.0, 11.0, 11.0, 7.0, 7.0, 5.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 3.0, 3.0, 5.0, 5.0, 13.0, 15.0, 13.0]"
1,2,Exploration,3,-8.0,"[0, -0.0, -0.0, -0.0, -0.0, -2.0, -2.0, -4.0, -6.0, -6.0, -6.0, -4.0, -4.0, -2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, -0.0, -0.0, -0.0, -2.0, 2.0, -10.0, -10.0, -8.0]"
2,1,Exploration,5,31.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 3.0, 5.0, 5.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0, -1.0, -1.0, 1.0, 7.0, 19.0, 19.0, 17.0, 23.0, 21.0, 25.0, 33.0, 31.0, 31.0]"
3,2,Exploration,3,-14.0,"[0, -0.0, -0.0, -0.0, 2.0, -0.0, -0.0, -0.0, -0.0, -2.0, -0.0, -0.0, -0.0, -0.0, -0.0, 2.0, 4.0, 4.0, 4.0, 2.0, -2.0, -16.0, -14.0, -14.0, -18.0, -18.0, -22.0, -22.0, -28.0, -14.0]"
4,1,Exploration,5,13.0,"[0, 3.0, 3.0, 7.0, 7.0, 7.0, 7.0, 7.0, 9.0, 13.0, 11.0, 13.0, 17.0, 21.0, 25.0, 25.0, 23.0, 27.0, 27.0, 27.0, 29.0, 23.0, 23.0, 21.0, 23.0, 17.0, 15.0, 15.0, 13.0, 13.0]"
5,2,Exploration,3,-8.0,"[0, -0.0, -0.0, -4.0, -4.0, -4.0, -4.0, -4.0, -4.0, -8.0, -8.0, -10.0, -14.0, -18.0, -22.0, -20.0, -20.0, -24.0, -24.0, -24.0, -20.0, -20.0, -18.0, -18.0, -14.0, -10.0, -12.0, -10.0, -8.0, -8.0]"
6,1,Exploration,5,37.0,"[0, 3.0, 3.0, 3.0, 3.0, 5.0, 5.0, 9.0, 11.0, 13.0, 13.0, 13.0, 19.0, 19.0, 19.0, 23.0, 27.0, 27.0, 27.0, 27.0, 27.0, 25.0, 29.0, 29.0, 31.0, 29.0, 29.0, 33.0, 43.0, 37.0]"
7,2,Exploration,3,-32.0,"[0, -0.0, -0.0, -0.0, -0.0, -2.0, -2.0, -6.0, -8.0, -10.0, -10.0, -10.0, -16.0, -14.0, -16.0, -20.0, -24.0, -24.0, -24.0, -24.0, -22.0, -22.0, -24.0, -26.0, -26.0, -26.0, -24.0, -30.0, -32.0, -32.0]"
8,1,Exploration,5,-9.0,"[0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 3.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 5.0, 5.0, 3.0, 5.0, 9.0, 9.0, 7.0, 1.0, 5.0, -1.0, -9.0]"
9,2,Exploration,3,16.0,"[0, -0.0, -2.0, -2.0, -2.0, -2.0, -0.0, -0.0, 2.0, 4.0, 4.0, 4.0, 4.0, 2.0, 4.0, 4.0, 6.0, 6.0, 2.0, 2.0, -2.0, 2.0, -0.0, -2.0, -6.0, -4.0, 4.0, 4.0, 4.0, 18.0, 16.0]"
10,1,Exploration,5,1.0,"[0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 3.0, 3.0, 3.0, 1.0, 1.0, 1.0, 1.0, -5.0, -7.0, -7.0, -7.0, -11.0, -11.0, -11.0, -11.0, -11.0, -11.0, -9.0, -13.0, -5.0, 5.0, 1.0]"
11,2,Exploration,3,6.0,"[0, -0.0, -2.0, -2.0, -2.0, -2.0, -2.0, -0.0, -0.0, -0.0, -0.0, 2.0, 2.0, 2.0, 4.0, 8.0, 14.0, 10.0, 12.0, 14.0, 14.0, 14.0, 14.0, 14.0, 16.0, 14.0, 18.0, 16.0, 10.0, 2.0, 6.0]"
12,1,Exploration,5,13.0,"[0, 3.0, 3.0, 3.0, 3.0, 5.0, 5.0, 7.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 13.0, 13.0, 15.0, 15.0, 15.0, 17.0, 17.0, 17.0, 23.0, 25.0, 23.0, 23.0, 23.0, 21.0, 23.0, 17.0, 13.0]"
13,2,Exploration,3,-2.0,"[0, -0.0, -0.0, -0.0, -0.0, -2.0, -0.0, -4.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -10.0, -10.0, -12.0, -12.0, -12.0, -12.0, -14.0, -14.0, -16.0, -20.0, -16.0, -20.0, -18.0, -18.0, -14.0, -6.0, -2.0]"
14,1,Exploration,5,15.0,"[0, 3.0, 3.0, 7.0, 7.0, 7.0, 7.0, 7.0, 11.0, 11.0, 11.0, 11.0, 9.0, 9.0, 7.0, 7.0, 7.0, 9.0, 15.0, 13.0, 13.0, 11.0, 13.0, 11.0, 11.0, 11.0, 17.0, 21.0, 17.0, 15.0]"
15,2,Exploration,3,-10.0,"[0, -0.0, -0.0, -4.0, -4.0, -4.0, -4.0, -4.0, -8.0, -8.0, -8.0, -6.0, -6.0, -4.0, -2.0, -4.0, -4.0, -6.0, -10.0, -10.0, -8.0, -8.0, -8.0, -8.0, -8.0, -6.0, -12.0, -12.0, -10.0, -10.0]"
16,1,Exploration,5,-17.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, -1.0, -3.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -9.0, -13.0, -11.0, -13.0, -21.0, -23.0, -17.0]"
17,2,Exploration,3,30.0,"[0, -0.0, -0.0, -0.0, 2.0, -0.0, -0.0, -0.0, -0.0, 4.0, 6.0, 6.0, 4.0, 4.0, 4.0, 2.0, 2.0, 2.0, 4.0, 4.0, 4.0, 6.0, 12.0, 16.0, 18.0, 18.0, 24.0, 28.0, 30.0]"
