,Id_joueur,Strategy,Depth,Max_Score,History
18,1,Exploration,5,-11.0,"[0, 3.0, 3.0, 5.0, 3.0, 1.0, 5.0, 7.0, -1.0, 1.0, -1.0, 1.0, 5.0, 7.0, 3.0, 3.0, 3.0, 9.0, 13.0, 15.0, 17.0, 15.0, 13.0, 17.0, -1.0, 3.0, -3.0, -3.0, -7.0, -13.0, -11.0]"
19,2,Dumb,1,20.0,"[0, -0.0, 2.0, -0.0, 2.0, 2.0, -2.0, 4.0, 4.0, 8.0, 4.0, 8.0, 2.0, -0.0, 2.0, -0.0, -0.0, -4.0, -10.0, -12.0, -8.0, -10.0, -10.0, 4.0, 8.0, 8.0, 6.0, 12.0, 22.0, 22.0, 20.0]"
20,1,Exploration,5,-5.0,"[0, 3.0, 3.0, 3.0, 1.0, 1.0, -3.0, 1.0, 3.0, 1.0, 5.0, 1.0, 3.0, 5.0, 5.0, 1.0, -1.0, 1.0, 7.0, 3.0, 7.0, 11.0, 17.0, 19.0, 9.0, 15.0, 13.0, 11.0, 1.0, 1.0, -5.0]"
21,2,Dumb,1,16.0,"[0, -0.0, -0.0, 2.0, 2.0, 6.0, 6.0, 2.0, 6.0, 2.0, 6.0, 2.0, 2.0, -0.0, 2.0, 10.0, 6.0, 4.0, 2.0, 4.0, -4.0, -6.0, -14.0, -2.0, -4.0, -8.0, -8.0, 6.0, 6.0, 16.0]"
22,1,Exploration,5,23.0,"[0, 3.0, 3.0, 1.0, -1.0, 1.0, 1.0, 1.0, 7.0, 7.0, 11.0, 11.0, 9.0, 9.0, 11.0, 13.0, 13.0, 13.0, 19.0, 17.0, 21.0, 25.0, 29.0, 25.0, 21.0, 19.0, 17.0, 17.0, 15.0, 21.0, 23.0]"
23,2,Dumb,1,-18.0,"[0, -0.0, 2.0, 4.0, 4.0, 2.0, 4.0, 2.0, -0.0, -4.0, -6.0, -4.0, -6.0, -4.0, -4.0, -10.0, -8.0, -10.0, -14.0, -14.0, -14.0, -18.0, -20.0, -16.0, -16.0, -6.0, -8.0, -2.0, -10.0, -14.0, -18.0]"
24,1,Exploration,5,7.0,"[0, 3.0, 3.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, 7.0, 11.0, 11.0, 9.0, 9.0, 11.0, 11.0, 13.0, 11.0, 9.0, 9.0, 15.0, 7.0, 7.0, 5.0, 1.0, 7.0, 7.0]"
25,2,Dumb,1,6.0,"[0, -0.0, 2.0, 2.0, 2.0, 6.0, 6.0, 6.0, 4.0, 2.0, -2.0, -8.0, -6.0, -0.0, -4.0, -8.0, -4.0, -6.0, -4.0, 4.0, -6.0, -4.0, -0.0, -2.0, 4.0, 2.0, -4.0, 6.0]"
26,1,Exploration,5,-15.0,"[0, 3.0, 3.0, 3.0, 3.0, 5.0, 3.0, 3.0, 1.0, 3.0, 7.0, 3.0, 1.0, 5.0, 3.0, 5.0, 1.0, 11.0, 11.0, 3.0, 7.0, 5.0, 5.0, 1.0, 1.0, 1.0, -7.0, -13.0, -9.0, -15.0, -15.0]"
27,2,Dumb,1,32.0,"[0, -0.0, -0.0, -0.0, 2.0, -0.0, 2.0, 2.0, 2.0, -0.0, -0.0, 4.0, 2.0, 4.0, 2.0, 2.0, 2.0, -6.0, 6.0, 4.0, 6.0, -0.0, 6.0, 4.0, 8.0, 14.0, 20.0, 18.0, 20.0, 18.0, 32.0]"
