,Id_joueur,Strategy,Depth,Max_Score,History
0,1,Exploration,3,-23.0,"[0, 3.0, 3.0, 3.0, 1.0, 1.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, -1.0, -3.0, -3.0, -5.0, -1.0, -7.0, -9.0, -13.0, -13.0, -17.0, -13.0, -9.0, -9.0, -9.0, -23.0]"
1,2,Dumb,1,30.0,"[0, -0.0, -0.0, 2.0, 2.0, 2.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 4.0, 8.0, 6.0, 12.0, 8.0, 10.0, 12.0, 16.0, 16.0, 20.0, 20.0, 16.0, 14.0, 18.0, 30.0]"
2,1,Exploration,3,17.0,"[0, 3.0, 5.0, 5.0, 3.0, 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, 1.0, 1.0, -7.0, -13.0, -13.0, -13.0, -13.0, -13.0, -11.0, -17.0, -17.0, -21.0, -21.0, -19.0, -13.0, -9.0, -5.0, 5.0, 7.0, 17.0]"
3,2,Dumb,1,-12.0,"[0, -0.0, -2.0, -0.0, 2.0, 2.0, 4.0, 2.0, 4.0, 4.0, 2.0, 2.0, 10.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 20.0, 20.0, 24.0, 24.0, 24.0, 22.0, 16.0, 12.0, 10.0, -0.0, -2.0, -12.0]"
4,1,Exploration,3,-13.0,"[0, 3.0, 3.0, 3.0, 1.0, 3.0, 3.0, 3.0, 5.0, 5.0, 1.0, -1.0, -1.0, -7.0, -5.0, -5.0, -5.0, -5.0, -9.0, -9.0, -9.0, -9.0, -9.0, -3.0, -5.0, -3.0, -1.0, -1.0, -7.0, -11.0, -13.0]"
5,2,Dumb,1,20.0,"[0, -0.0, -0.0, 2.0, 2.0, 2.0, -0.0, -0.0, -2.0, 4.0, 6.0, 4.0, 10.0, 10.0, 8.0, 8.0, 8.0, 12.0, 12.0, 14.0, 12.0, 12.0, 12.0, 8.0, 10.0, 8.0, 8.0, 12.0, 20.0, 20.0]"
6,1,Exploration,3,3.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0, -3.0, -3.0, -3.0, -5.0, -3.0, -3.0, -1.0, 1.0, -5.0, -1.0, -3.0, -7.0, -5.0, -5.0, -3.0, -3.0, -3.0, -1.0, -1.0, -9.0, -11.0, -7.0, 5.0, 3.0]"
7,2,Dumb,1,-0.0,"[0, -0.0, -0.0, 2.0, -0.0, 2.0, 6.0, 6.0, 6.0, 8.0, 8.0, 6.0, 6.0, 4.0, 8.0, 8.0, 6.0, 10.0, 10.0, 8.0, 8.0, 6.0, 6.0, 6.0, 4.0, 12.0, 18.0, 16.0, 14.0, 2.0, -0.0]"
8,1,Exploration,3,-13.0,"[0, 3.0, 3.0, 3.0, 1.0, 1.0, 3.0, 3.0, 3.0, 3.0, 1.0, 1.0, -5.0, -9.0, -9.0, -9.0, -11.0, -11.0, -11.0, -9.0, -11.0, -11.0, -11.0, -13.0, -21.0, -25.0, -25.0, -25.0, -25.0, -19.0, -13.0]"
9,2,Dumb,1,24.0,"[0, -0.0, -0.0, 2.0, 2.0, 2.0, -0.0, -0.0, -0.0, 2.0, 2.0, 8.0, 12.0, 12.0, 12.0, 18.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 16.0, 26.0, 28.0, 30.0, 30.0, 28.0, 28.0, 24.0]"
10,1,Exploration,3,-33.0,"[0, 3.0, 3.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 1.0, -1.0, -3.0, -3.0, -5.0, -5.0, -5.0, -3.0, -5.0, -7.0, -11.0, -15.0, -17.0, -15.0, -15.0, -37.0, -37.0, -31.0, -25.0, -31.0, -33.0]"
11,2,Dumb,1,46.0,"[0, -0.0, -0.0, -0.0, -2.0, -2.0, -2.0, -2.0, -0.0, 2.0, 4.0, 6.0, 6.0, 8.0, 8.0, 8.0, 10.0, 8.0, 10.0, 14.0, 18.0, 20.0, 22.0, 18.0, 40.0, 40.0, 40.0, 36.0, 34.0, 38.0, 46.0]"
12,1,Exploration,3,-15.0,"[0, 3.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -3.0, -1.0, -1.0, -11.0, -11.0, -13.0, -13.0, -11.0, -13.0, -13.0, -17.0, -19.0, -21.0, -15.0, -19.0, -15.0, -15.0]"
13,2,Dumb,1,18.0,"[0, -0.0, 2.0, 2.0, 2.0, 4.0, 2.0, 6.0, 2.0, 2.0, 2.0, 2.0, 2.0, 8.0, 6.0, 4.0, 14.0, 16.0, 18.0, 16.0, 16.0, 16.0, 16.0, 20.0, 22.0, 24.0, 26.0, 22.0, 22.0, 18.0, 18.0]"
14,1,Exploration,3,11.0,"[0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 1.0, -1.0, -1.0, -1.0, -3.0, -5.0, -5.0, -7.0, -7.0, -11.0, -9.0, -9.0, -13.0, -15.0, -9.0, -11.0, -11.0, -3.0, -5.0, -5.0, -5.0, -1.0, 11.0]"
15,2,Dumb,1,-8.0,"[0, -0.0, -2.0, -2.0, -2.0, -2.0, 2.0, 6.0, 4.0, 4.0, 6.0, 8.0, 8.0, 10.0, 10.0, 14.0, 14.0, 12.0, 16.0, 18.0, 18.0, 14.0, 14.0, 14.0, 8.0, 10.0, 8.0, 8.0, 4.0, -8.0]"
16,1,Exploration,3,-23.0,"[0, 3.0, 3.0, 3.0, 1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -3.0, -5.0, -5.0, -5.0, -7.0, -7.0, -9.0, -11.0, -17.0, -17.0, -19.0, -19.0, -17.0, -21.0, -21.0, -21.0, -29.0, -23.0]"
17,2,Dumb,1,32.0,"[0, -0.0, -0.0, 2.0, 6.0, 4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 6.0, 6.0, 10.0, 12.0, 8.0, 10.0, 12.0, 12.0, 14.0, 20.0, 20.0, 22.0, 26.0, 22.0, 24.0, 24.0, 26.0, 34.0, 32.0, 32.0]"
