,Id_joueur,Strategy,Depth,Max_Score,History
0,1,Exploration,3,51,"[4, 5, 6, 6, 9, 10, 11, 14, 13, 13, 11, 11, 17, 20, 21, 25, 25, 27, 27, 28, 26, 28, 31, 37, 41, 42, 42, 49, 51, 51]"
1,2,Exploration_spatial,3,18,"[3, 4, 6, 7, 6, 8, 8, 9, 11, 16, 18, 18, 17, 14, 14, 13, 14, 17, 20, 22, 27, 22, 20, 16, 16, 17, 17, 14, 13, 18]"
2,1,Exploration,3,24,"[4, 5, 6, 6, 8, 10, 11, 12, 13, 13, 14, 16, 11, 14, 14, 11, 13, 9, 8, 11, 8, 13, 10, 12, 13, 16, 14, 18, 22, 24]"
3,2,Exploration_spatial,3,42,"[3, 4, 7, 8, 7, 7, 8, 9, 11, 12, 13, 19, 20, 22, 27, 27, 31, 35, 35, 38, 39, 40, 42, 42, 42, 45, 45, 44, 41, 42]"
4,1,Exploration,3,38,"[4, 5, 6, 7, 9, 7, 8, 9, 12, 13, 16, 16, 15, 16, 16, 13, 17, 17, 22, 23, 23, 26, 29, 29, 33, 32, 35, 36, 37, 38]"
5,2,Exploration_spatial,3,31,"[3, 4, 6, 6, 9, 11, 12, 12, 11, 12, 13, 20, 19, 19, 24, 25, 23, 25, 25, 28, 27, 26, 23, 24, 24, 25, 27, 26, 27, 31]"
6,1,Exploration,3,47,"[4, 5, 6, 6, 9, 10, 11, 14, 13, 13, 11, 11, 17, 17, 18, 20, 20, 24, 28, 31, 33, 35, 35, 40, 42, 47, 46, 45, 46, 47]"
7,2,Exploration_spatial,3,20,"[3, 4, 6, 7, 6, 8, 8, 9, 11, 16, 18, 18, 17, 20, 17, 20, 19, 19, 15, 18, 14, 15, 16, 16, 15, 12, 17, 18, 17, 20]"
8,1,Exploration,3,45,"[4, 5, 6, 7, 8, 8, 10, 10, 12, 14, 16, 17, 21, 22, 21, 22, 24, 23, 25, 27, 28, 27, 28, 29, 33, 38, 40, 44, 45, 45]"
9,2,Exploration_spatial,3,21,"[3, 4, 6, 7, 10, 9, 11, 12, 11, 12, 15, 12, 11, 13, 15, 17, 18, 20, 20, 19, 22, 23, 25, 26, 23, 20, 22, 22, 20, 21]"
10,1,Exploration,3,44,"[4, 5, 6, 6, 7, 8, 12, 15, 15, 15, 16, 19, 18, 17, 20, 22, 25, 27, 31, 34, 35, 36, 35, 32, 33, 33, 35, 39, 42, 44]"
11,2,Exploration_spatial,3,23,"[3, 4, 6, 7, 8, 10, 7, 7, 10, 11, 11, 14, 15, 17, 17, 16, 14, 14, 12, 11, 12, 15, 20, 25, 23, 25, 24, 22, 21, 23]"
12,1,Exploration,3,53,"[4, 5, 6, 5, 6, 8, 10, 13, 14, 15, 16, 17, 16, 17, 16, 17, 17, 19, 23, 27, 31, 30, 32, 34, 37, 39, 45, 50, 51, 53]"
13,2,Exploration_spatial,3,12,"[3, 4, 7, 9, 10, 9, 9, 8, 9, 10, 12, 15, 16, 19, 19, 22, 22, 23, 20, 22, 20, 19, 20, 20, 18, 18, 14, 13, 14, 12]"
14,1,Exploration,3,22,"[4, 5, 6, 6, 6, 7, 7, 7, 10, 9, 10, 11, 12, 10, 12, 16, 18, 20, 20, 21, 20, 22, 23, 21, 18, 19, 18, 20, 23, 22]"
15,2,Exploration_spatial,3,46,"[3, 4, 6, 9, 10, 12, 13, 14, 16, 16, 17, 18, 23, 25, 24, 21, 21, 23, 24, 27, 28, 30, 31, 38, 41, 41, 43, 44, 45, 46]"
16,1,Exploration,3,32,"[4, 5, 6, 6, 8, 7, 10, 11, 10, 12, 10, 12, 12, 16, 16, 17, 13, 11, 15, 17, 17, 17, 21, 24, 21, 28, 26, 32, 29, 32]"
17,2,Exploration_spatial,3,33,"[3, 4, 7, 8, 9, 10, 9, 14, 14, 17, 17, 19, 22, 18, 20, 25, 30, 30, 28, 31, 32, 33, 30, 34, 34, 35, 33, 34, 34, 33]"
18,1,Exploration,3,33,"[4, 5, 6, 7, 9, 7, 8, 11, 12, 12, 12, 10, 10, 12, 15, 19, 20, 18, 23, 22, 23, 28, 24, 25, 27, 27, 29, 30, 32, 33]"
19,2,Exploration_spatial,3,33,"[3, 4, 6, 6, 9, 10, 12, 12, 12, 15, 18, 22, 21, 21, 20, 18, 23, 23, 25, 25, 26, 26, 28, 28, 32, 33, 31, 33, 31, 33]"
20,1,Exploration,3,37,"[4, 5, 6, 5, 6, 6, 8, 10, 13, 14, 12, 14, 19, 21, 18, 17, 21, 22, 26, 30, 35, 39, 37, 38, 40, 33, 32, 32, 36, 37]"
21,2,Exploration_spatial,3,32,"[3, 4, 7, 8, 11, 11, 11, 13, 10, 16, 19, 15, 15, 18, 22, 21, 20, 19, 18, 17, 12, 15, 15, 17, 23, 27, 30, 29, 32]"
22,1,Exploration,3,35,"[4, 5, 6, 7, 7, 8, 7, 10, 11, 13, 14, 14, 19, 20, 18, 17, 14, 14, 21, 23, 24, 25, 26, 28, 32, 36, 35, 37, 37, 35]"
23,2,Exploration_spatial,3,30,"[3, 4, 5, 8, 9, 11, 12, 11, 12, 12, 14, 16, 13, 16, 19, 24, 26, 27, 25, 23, 24, 25, 25, 27, 23, 24, 24, 25, 29, 30]"
24,1,Exploration,3,34,"[4, 5, 6, 7, 9, 10, 9, 10, 11, 13, 14, 15, 16, 19, 18, 20, 24, 25, 28, 29, 28, 30, 29, 29, 31, 30, 29, 31, 32, 34]"
25,2,Exploration_spatial,3,31,"[3, 4, 5, 6, 6, 9, 12, 12, 12, 12, 13, 15, 15, 17, 20, 17, 17, 17, 15, 20, 21, 22, 25, 26, 27, 29, 32, 32, 34, 31]"
26,1,Exploration,3,42,"[4, 5, 6, 5, 8, 9, 11, 12, 10, 9, 12, 9, 12, 15, 19, 23, 24, 29, 33, 34, 31, 35, 37, 36, 38, 41, 39, 42, 44, 42]"
27,2,Exploration_spatial,3,27,"[3, 4, 7, 8, 7, 8, 8, 13, 16, 18, 20, 21, 19, 21, 16, 16, 15, 15, 11, 16, 17, 15, 16, 19, 20, 20, 20, 19, 22, 27]"
28,1,Exploration,3,48,"[4, 5, 6, 5, 6, 8, 9, 13, 15, 15, 18, 20, 19, 23, 26, 30, 31, 31, 32, 36, 38, 41, 42, 44, 45, 45, 46, 48]"
29,2,Exploration_spatial,3,17,"[3, 4, 7, 8, 9, 9, 10, 8, 10, 11, 10, 12, 12, 11, 10, 7, 11, 12, 12, 9, 11, 8, 9, 10, 11, 12, 13, 17]"
