,Id_joueur,Strategy,Max_Score,History
0,1,Dumb,44,"[4, 5, 6, 7, 7, 8, 9, 11, 14, 14, 16, 17, 16, 19, 21, 20, 24, 24, 29, 34, 34, 34, 37, 38, 38, 41, 43, 48, 43, 44]"
1,2,Dumb,22,"[3, 4, 5, 7, 8, 10, 12, 10, 12, 12, 11, 15, 16, 15, 16, 17, 16, 18, 15, 14, 15, 15, 14, 16, 17, 18, 18, 20, 22, 22]"
2,1,Dumb,32,"[4, 6, 7, 8, 8, 9, 10, 10, 11, 13, 14, 14, 13, 16, 16, 19, 22, 23, 26, 25, 27, 27, 26, 29, 31, 31, 30, 31, 30, 32]"
3,2,Dumb,39,"[3, 3, 5, 6, 8, 9, 10, 13, 12, 12, 15, 17, 18, 18, 21, 18, 17, 20, 19, 21, 21, 25, 25, 24, 26, 30, 33, 35, 34, 39]"
4,1,Dumb,26,"[4, 5, 6, 7, 7, 7, 7, 6, 8, 7, 9, 10, 13, 15, 17, 19, 19, 16, 19, 19, 17, 19, 23, 23, 30, 33, 33, 32, 26]"
5,2,Dumb,36,"[3, 4, 5, 7, 9, 11, 14, 16, 17, 19, 19, 19, 18, 18, 18, 22, 25, 29, 25, 31, 30, 32, 30, 30, 26, 25, 31, 36]"
6,1,Dumb,32,"[4, 5, 6, 6, 7, 8, 9, 12, 13, 15, 15, 16, 14, 15, 16, 16, 18, 19, 18, 21, 20, 21, 22, 23, 24, 28, 27, 29, 35, 32]"
7,2,Dumb,36,"[3, 4, 6, 8, 8, 9, 10, 9, 10, 11, 13, 16, 17, 18, 20, 21, 24, 24, 25, 26, 27, 28, 29, 30, 32, 31, 35, 32, 32, 36]"
8,1,Dumb,36,"[4, 5, 7, 8, 9, 11, 13, 14, 15, 16, 17, 17, 16, 17, 15, 16, 17, 18, 22, 22, 27, 26, 28, 30, 30, 27, 27, 29, 36]"
9,2,Dumb,30,"[3, 4, 4, 5, 6, 6, 6, 7, 8, 9, 12, 14, 17, 19, 21, 23, 22, 24, 22, 23, 23, 25, 24, 28, 29, 33, 35, 32, 30]"
10,1,Dumb,33,"[4, 5, 6, 6, 7, 8, 9, 10, 10, 10, 12, 12, 14, 15, 18, 22, 18, 22, 26, 26, 26, 27, 34, 33, 35, 33, 34, 33, 31, 33]"
