,func,ncalls,ccalls,tottime,cumtime,callers
24,"<code object Inverts_pawns at 0x0000011A264D6500, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 44>",47338,0,0.2075336,0.1332274,"[_lsprof.profiler_subentry(code='<built-in method builtins.len>', callcount=47338, reccallcount=0, totaltime=0.010717200000000001, inlinetime=0.010717200000000001), _lsprof.profiler_subentry(code=<code object retournement at 0x0000011A24BA2BE0, file ""c:\Users\iTreek\Documents\Formation\Othello\pawn_file.py"", line 11>, callcount=73097, reccallcount=0, totaltime=0.063589, inlinetime=0.045553100000000006)]"
17,"<code object Convert_str_coord at 0x0000011A24BA2F50, file ""c:\Users\iTreek\Documents\Formation\Othello\utils.py"", line 9>",47338,0,0.1302107,0.1302107,
2,"<code object place_pawn at 0x0000011A224EBF50, file ""c:\Users\iTreek\Documents\Formation\Othello\board_file.py"", line 14>",23678,0,0.1686087,0.1284827,"[_lsprof.profiler_subentry(code=<code object __init__ at 0x0000011A24BA2500, file ""c:\Users\iTreek\Documents\Formation\Othello\pawn_file.py"", line 8>, callcount=23678, reccallcount=0, totaltime=0.012943900000000001, inlinetime=0.012943900000000001), _lsprof.profiler_subentry(code=""<method 'append' of 'list' objects>"", callcount=23678, reccallcount=0, totaltime=0.0033745000000000003, inlinetime=0.0033745000000000003), _lsprof.profiler_subentry(code=<code object Convert_str_coord at 0x0000011A24BA2F50, file ""c:\Users\iTreek\Documents\Formation\Othello\utils.py"", line 9>, callcount=23678, reccallcount=0, totaltime=0.0238076, inlinetime=0.0238076)]"
44,<method 'choice' of 'numpy.random.mtrand.RandomState' objects>,3964,0,0.22322380000000003,0.1184177,"[_lsprof.profiler_subentry(code=<code object prod at 0x0000011A2432E500, file ""<__array_function__ internals>"", line 2>, callcount=3964, reccallcount=0, totaltime=0.10480610000000001, inlinetime=0.007254)]"
36,<method 'reduce' of 'numpy.ufunc' objects>,7928,0,0.112295,0.112295,
42,<built-in method builtins.len>,1098771,0,0.1001958,0.1001958,
39,<method 'extend' of 'list' objects>,1052646,0,0.0947434,0.0947434,
3,"<code object remove_pawn at 0x0000011A224EF710, file ""c:\Users\iTreek\Documents\Formation\Othello\board_file.py"", line 21>",23660,0,0.19679980000000002,0.09039670000000001,"[_lsprof.profiler_subentry(code=<code object Convert_str_coord at 0x0000011A24BA2F50, file ""c:\Users\iTreek\Documents\Formation\Othello\utils.py"", line 9>, callcount=23660, reccallcount=0, totaltime=0.1064031, inlinetime=0.1064031)]"
38,<method 'append' of 'list' objects>,445964,0,0.07558730000000001,0.07558730000000001,
47,<built-in method pygame.display.flip>,243,0,0.0740978,0.0740978,
34,<built-in method numpy.array>,7928,0,0.0675729,0.0675729,
19,"<code object Undo_move at 0x0000011A264D27C0, file ""c:\Users\iTreek\Documents\Formation\Othello\Player_file.py"", line 20>",23660,0,0.0780223,0.06521690000000001,"[_lsprof.profiler_subentry(code=""<method 'pop' of 'list' objects>"", callcount=23660, reccallcount=0, totaltime=0.012805400000000002, inlinetime=0.012805400000000002)]"
5,"<code object where at 0x0000011A242DE7C0, file ""<__array_function__ internals>"", line 2>",23696,0,0.3169429,0.0487582,"[_lsprof.profiler_subentry(code=<code object where at 0x0000011A23FBC190, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\multiarray.py"", line 341>, callcount=23696, reccallcount=0, totaltime=0.0097179, inlinetime=0.0097179), _lsprof.profiler_subentry(code='<built-in method numpy.core._multiarray_umath.implement_array_function>', callcount=23696, reccallcount=0, totaltime=0.2584668, inlinetime=0.2584668)]"
14,"<code object retournement at 0x0000011A24BA2BE0, file ""c:\Users\iTreek\Documents\Formation\Othello\pawn_file.py"", line 11>",73097,0,0.063589,0.045553100000000006,"[_lsprof.profiler_subentry(code=<code object Retournement_valeur at 0x0000011A24BA2C90, file ""c:\Users\iTreek\Documents\Formation\Othello\pawn_file.py"", line 1>, callcount=73097, reccallcount=0, totaltime=0.0180359, inlinetime=0.0180359)]"
