,Id_joueur,Strategy,Depth,Max_Score,History
18,1,Exploration,3,11.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 7.0, 7.0, 7.0, 5.0, 7.0, 9.0, 13.0, 15.0, 13.0, 13.0, 15.0, 21.0, 23.0, 23.0, 27.0, 27.0, 27.0, 21.0, 11.0]"
19,2,Exploration_spatial,3,-6.0,"[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 2.0, -0.0, -2.0, -4.0, -4.0, -2.0, -2.0, -4.0, -6.0, -10.0, -10.0, -10.0, -10.0, -10.0, -18.0, -20.0, -20.0, -24.0, -24.0, -8.0, -0.0, -6.0]"
20,1,Exploration,3,11.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 7.0, 7.0, 7.0, 5.0, 7.0, 9.0, 13.0, 15.0, 13.0, 13.0, 15.0, 21.0, 23.0, 23.0, 27.0, 27.0, 27.0, 21.0, 11.0]"
21,2,Exploration_spatial,3,-6.0,"[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 2.0, -0.0, -2.0, -4.0, -4.0, -2.0, -2.0, -4.0, -6.0, -10.0, -10.0, -10.0, -10.0, -10.0, -18.0, -20.0, -20.0, -24.0, -24.0, -8.0, -0.0, -6.0]"
22,1,Exploration,3,11.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 7.0, 7.0, 7.0, 5.0, 7.0, 9.0, 13.0, 15.0, 13.0, 13.0, 15.0, 21.0, 23.0, 23.0, 27.0, 27.0, 27.0, 21.0, 11.0]"
23,2,Exploration_spatial,3,-6.0,"[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 2.0, -0.0, -2.0, -4.0, -4.0, -2.0, -2.0, -4.0, -6.0, -10.0, -10.0, -10.0, -10.0, -10.0, -18.0, -20.0, -20.0, -24.0, -24.0, -8.0, -0.0, -6.0]"
24,1,Exploration,3,11.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 7.0, 7.0, 7.0, 5.0, 7.0, 9.0, 13.0, 15.0, 13.0, 13.0, 15.0, 21.0, 23.0, 23.0, 27.0, 27.0, 27.0, 21.0, 11.0]"
25,2,Exploration_spatial,3,-6.0,"[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 2.0, -0.0, -2.0, -4.0, -4.0, -2.0, -2.0, -4.0, -6.0, -10.0, -10.0, -10.0, -10.0, -10.0, -18.0, -20.0, -20.0, -24.0, -24.0, -8.0, -0.0, -6.0]"
26,1,Exploration,3,11.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 7.0, 7.0, 7.0, 5.0, 7.0, 9.0, 13.0, 15.0, 13.0, 13.0, 15.0, 21.0, 23.0, 23.0, 27.0, 27.0, 27.0, 21.0, 11.0]"
27,2,Exploration_spatial,3,-6.0,"[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 2.0, -0.0, -2.0, -4.0, -4.0, -2.0, -2.0, -4.0, -6.0, -10.0, -10.0, -10.0, -10.0, -10.0, -18.0, -20.0, -20.0, -24.0, -24.0, -8.0, -0.0, -6.0]"
28,1,Exploration,3,11.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 7.0, 7.0, 7.0, 5.0, 7.0, 9.0, 13.0, 15.0, 13.0, 13.0, 15.0, 21.0, 23.0, 23.0, 27.0, 27.0, 27.0, 21.0, 11.0]"
29,2,Exploration_spatial,3,-6.0,"[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 2.0, -0.0, -2.0, -4.0, -4.0, -2.0, -2.0, -4.0, -6.0, -10.0, -10.0, -10.0, -10.0, -10.0, -18.0, -20.0, -20.0, -24.0, -24.0, -8.0, -0.0, -6.0]"
30,1,Exploration,3,11.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 7.0, 7.0, 7.0, 5.0, 7.0, 9.0, 13.0, 15.0, 13.0, 13.0, 15.0, 21.0, 23.0, 23.0, 27.0, 27.0, 27.0, 21.0, 11.0]"
31,2,Exploration_spatial,3,-6.0,"[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 2.0, -0.0, -2.0, -4.0, -4.0, -2.0, -2.0, -4.0, -6.0, -10.0, -10.0, -10.0, -10.0, -10.0, -18.0, -20.0, -20.0, -24.0, -24.0, -8.0, -0.0, -6.0]"
32,1,Exploration,3,11.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 7.0, 7.0, 7.0, 5.0, 7.0, 9.0, 13.0, 15.0, 13.0, 13.0, 15.0, 21.0, 23.0, 23.0, 27.0, 27.0, 27.0, 21.0, 11.0]"
33,2,Exploration_spatial,3,-6.0,"[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 2.0, -0.0, -2.0, -4.0, -4.0, -2.0, -2.0, -4.0, -6.0, -10.0, -10.0, -10.0, -10.0, -10.0, -18.0, -20.0, -20.0, -24.0, -24.0, -8.0, -0.0, -6.0]"
34,1,Exploration,3,11.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 7.0, 7.0, 7.0, 5.0, 7.0, 9.0, 13.0, 15.0, 13.0, 13.0, 15.0, 21.0, 23.0, 23.0, 27.0, 27.0, 27.0, 21.0, 11.0]"
35,2,Exploration_spatial,3,-6.0,"[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 2.0, -0.0, -2.0, -4.0, -4.0, -2.0, -2.0, -4.0, -6.0, -10.0, -10.0, -10.0, -10.0, -10.0, -18.0, -20.0, -20.0, -24.0, -24.0, -8.0, -0.0, -6.0]"
36,1,Exploration,3,11.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 7.0, 7.0, 7.0, 5.0, 7.0, 9.0, 13.0, 15.0, 13.0, 13.0, 15.0, 21.0, 23.0, 23.0, 27.0, 27.0, 27.0, 21.0, 11.0]"
37,2,Exploration_spatial,3,-6.0,"[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 2.0, -0.0, -2.0, -4.0, -4.0, -2.0, -2.0, -4.0, -6.0, -10.0, -10.0, -10.0, -10.0, -10.0, -18.0, -20.0, -20.0, -24.0, -24.0, -8.0, -0.0, -6.0]"
38,1,Exploration,3,11.0,"[0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 7.0, 7.0, 7.0, 5.0, 7.0, 9.0, 13.0, 15.0, 13.0, 13.0, 15.0, 21.0, 23.0, 23.0, 27.0, 27.0, 27.0, 21.0, 11.0]"
39,2,Exploration_spatial,3,-6.0,"[0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 2.0, -0.0, -2.0, -4.0, -4.0, -2.0, -2.0, -4.0, -6.0, -10.0, -10.0, -10.0, -10.0, -10.0, -18.0, -20.0, -20.0, -24.0, -24.0, -8.0, -0.0, -6.0]"
