,Unnamed: 0,Id_joueur,Strategy,Max_Score,History
0,0,1,Dumb,21,"[4, 5, 7, 7, 8, 7, 8, 9, 12, 13, 13, 14, 15, 15, 18, 19, 22, 23, 23, 23, 24, 21, 22, 22, 20, 18, 18, 18, 17, 21]"
1,1,2,Dumb,49,"[3, 4, 6, 6, 9, 10, 12, 12, 11, 13, 14, 15, 17, 18, 19, 19, 19, 19, 21, 23, 28, 28, 30, 35, 40, 41, 45, 48, 46, 49]"
