,Id_joueur,Strategy,Depth,Max_Score,History
0,1,Exploration,4,25,"[4, 5, 6, 5, 6, 8, 8, 10, 11, 11, 12, 11, 11, 15, 15, 15, 16, 17, 14, 17, 21, 22, 22, 24, 24, 27, 29, 25, 27, 25]"
1,2,Exploration_spatial,4,45,"[3, 4, 7, 8, 9, 10, 12, 11, 16, 15, 18, 21, 20, 20, 22, 22, 26, 28, 31, 29, 26, 30, 30, 34, 31, 30, 35, 37, 40, 45]"
2,1,Exploration,4,18,"[4, 5, 6, 7, 7, 9, 10, 13, 11, 12, 14, 17, 21, 24, 24, 25, 25, 27, 28, 27, 27, 26, 23, 21, 26, 25, 22, 18, 22, 18]"
3,2,Exploration_spatial,4,48,"[3, 4, 5, 8, 8, 9, 9, 11, 14, 13, 13, 13, 11, 10, 11, 14, 15, 17, 20, 22, 25, 28, 35, 32, 32, 38, 42, 45, 49, 48]"
4,1,Exploration,4,38,"[4, 5, 6, 6, 8, 8, 9, 7, 11, 15, 16, 15, 19, 21, 23, 23, 24, 28, 25, 24, 23, 23, 24, 31, 31, 34, 35, 37, 40, 38]"
5,2,Exploration_spatial,4,28,"[3, 4, 6, 7, 9, 10, 14, 15, 12, 11, 15, 15, 15, 12, 14, 15, 16, 17, 21, 25, 28, 28, 27, 24, 27, 23, 27, 24, 26, 28]"
6,1,Exploration,4,43,"[4, 5, 6, 6, 8, 9, 8, 10, 12, 14, 12, 14, 17, 19, 22, 23, 20, 16, 20, 22, 24, 28, 25, 32, 35, 38, 44, 42, 42, 43]"
7,2,Exploration_spatial,4,24,"[3, 4, 6, 8, 9, 11, 12, 11, 11, 15, 16, 15, 15, 15, 13, 19, 26, 27, 23, 24, 23, 26, 26, 23, 21, 21, 18, 22, 25, 24]"
8,1,Exploration,4,50,"[4, 5, 6, 5, 6, 7, 10, 12, 14, 13, 16, 17, 21, 22, 24, 25, 27, 30, 30, 32, 37, 40, 43, 44, 44, 44, 49, 50, 49, 50]"
9,2,Exploration_spatial,4,19,"[3, 4, 7, 9, 9, 10, 10, 9, 11, 12, 11, 12, 10, 13, 16, 16, 13, 14, 14, 14, 11, 9, 11, 13, 14, 13, 11, 13, 16, 19]"
10,1,Exploration,4,35,"[4, 5, 6, 7, 8, 10, 12, 13, 15, 17, 18, 19, 19, 19, 20, 21, 22, 22, 23, 24, 29, 30, 31, 36, 37, 37, 36, 35, 33, 35]"
